AirportID,WeatherStation
KAPA,KAPA
FRG,KFRG
ANE,KANE
M21,KM21
PDT,KPDT
MBT,KMBT
DAB,KDAB
DTO,KDTO
JES,KJES
MTP,KMTP
OZS,KOZS
LXV,KLXV
MLB,KMLB
RVS,KRVS
DFW,KDFW
BYI,KBYI
F45,KF45
W29,KW29
C29,KC29
MKL,KMKL
PDK,KPDK
MYV,KMYV
TTA,KTTA
FQD,KFQD
DYB,KDYB
OCH,KOCH
BDR,KBDR
BLM,KBLM
SGJ,KSGJ
HOU,KHOU
CZL,KCZL
BVX,KBVX
APA,KAPA
FNL,KFNL
BIV,KBIV
DAY,KDAY
CDW,KCDW
MRT,KMRT
FRH,KFRH
AQP,KAQP
LZU,KLZU
MIA,KMIA
CRG,KCRG
IAH,KIAH
MMU,KMMU
KSUZ,KSUZ
OLV,KOLV
65S,K65S
ASE,KASE
CYS,KCYS
AJR,KAJR
SFB,KSFB
MTV,KMTV
MCO,KMCO
TME,KTME
APF,KAPF
FXE,KFXE
FCM,KFCM
MPO,KMPO
I23,KI23
EZF,KEZF
1A5,K1A5
PAM,KPAM
JYO,KJYO
GEU,KGEU
FHB,KFHB
54J,K54J
BID,KBID
BRY,KBRY
T20,KT20
BPI,KBPI
CHD,KCHD
KORD,KORD
MMSL,MMSL
SFF,KSFF
ELP,KELP
GKT,KGKT
MDH,KMDH
VAY,KVAY
W99,KW99
MLD,KMLD
BJC,KBJC
GDJ,KGDJ
ESC,KESC
LHZ,KLHZ
FUL,KFUL
DMO,KDMO
MLE,KMLE
FAR,KFAR
RIW,KRIW
LBX,KLBX
LMO,KLMO
FAGM,FAGM
MGG,KMGG
LTBA,LTBA
BTP,KBTP
EMV,KEMV
CXP,KCXP
HJH,KHJH
ICT,KICT
GUC,KGUC
SDL,KSDL
MPMG,MPMG
LHM,KLHM
DMN,KDMN
GIF,KGIF
SFZ,KSFZ
PVG,KPVG
TJIG,TJIG
UNU,KUNU
L18,KL18
FYM,KFYM
KACT,KACT
HND,KHND
SGR,KSGR
HWY,KHWY
XBP,KXBP
SPJC,SPJC
PGD,KPGD
SKRG,SKRG
AEJ,KAEJ
CNM,KCNM
GOO,KGOO
VGT,KVGT
CAK,KCAK
JAS,KJAS
IWA,KIWA
LXT,KLXT
ADS,KADS
SNC,KSNC
PAMR,PAMR
OMA,KOMA
SRQ,KSRQ
SOW,KSOW
PVB,KPVB
HSP,KHSP
DVO,KDVO
VEL,KVEL
SBY,KSBY
CLW,KCLW
CGE,KCGE
RBL,KRBL
ESN,KESN
AFO,KAFO
RNM,KRNM
TPF,KTPF
LEE,KLEE
CXO,KCXO
VTI,KVTI
TVC,KTVC
AAT,KAAT
PNE,KPNE
ZPH,KZPH
EET,KEET
HDO,KHDO
AEG,KAEG
EQY,KEQY
DYL,KDYL
LKU,KLKU
KWYS,KWYS
IJD,KIJD
XMR,KXMR
KSAZ,KSAZ
BCE,KBCE
KAEG,KAEG
KPIE,KPIE
FFZ,KFFZ
KOJC,KOJC
EYE,KEYE
CMA,KCMA
PSO,KPSO
MMV,KMMV
H21,KH21
KCPT,KCPT
FAY,KFAY
PUB,KPUB
MKC,KMKC
DVT,KDVT
FNT,KFNT
EDDM,EDDM
LNC,KLNC
PADL,PADL
HEF,KHEF
KPHD,KPHD
PATK,PATK
KDNV,KDNV
KDAY,KDAY
KPHX,KPHX
SPI,KSPI
PAMK,PAMK
11R,K11R
BDN,KBDN
BMQ,KBMQ
PKB,KPKB
KAMA,KAMA
AUO,KAUO
SME,KSME
JHW,KJHW
MFI,KMFI
CPR,KCPR
GPM,KGPM
FPK,KFPK
MSO,KMSO
ARR,KARR
MSN,KMSN
FLG,KFLG
SMN,KSMN
AWO,KAWO
VLD,KVLD
MGJ,KMGJ
EFD,KEFD
CLE,KCLE
SNA,KSNA
SBP,KSBP
STL,KSTL
