ntsbno,eventtype,mkey,eventdate_ntsb,city,state,country,reportno,n,hassafetyrec,reporttype,originalpublishdate,highestinjurylevel,fatalinjurycount,seriousinjurycount,minorinjurycount,probablecause,eventid,latitude,longitude,make,model,aircraftcategory,airportid_ntsb,airportname,amateurbuilt,numberofengines,scheduled,purposeofflight,far,aircraftdamage,weathercondition,operator,reportstatus,repgenflag,docketurl,docketpublishdate,station,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,wxcodes,metar,airportid_metar,weatherstation,eventdate_metar,weather_source,distance_nm,time_diff
ERA25LA375,ACC,201771,2025-09-29 19:05:00+00:00,Punxsutawney,Pennsylvania,United States,,N6703A,FALSE,DirectorBrief,2025-12-04T05:00:00Z,None,0,0,0,The airplane’s collision with a deer on a runway during landing roll.,,40.966837,-78.929904,CESSNA,172,AIR,N35,PUNXSUTAWNEY MUNI,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=201771,12/4/2025 18:00,DUJ,2025-09-29 18:53:00+00:00,72,54,53.13,130,4,,10,30.24,0,M,KDUJ 291853Z AUTO 13004KT 10SM CLR 22/12 A3024 RMK AO2 SLP232 T02220122 PWINO,N35,DUJ,2025-09-29 19:05:00+00:00,FALLBACK,12.873873679286174,0 days 00:12:00
CEN25LA333,ACC,200837,2025-08-22 08:44:00+00:00,Englewood,Colorado,United States,,N18852,FALSE,DirectorBrief,2025-10-23T04:00:00Z,None,0,0,0,A malfunction of the tailwheel which resulted in a runway excursion and ground loop.,,39.570961,-104.84175,PARKS,FOKKER D-VII REPLICA,AIR,KAPA,CENTENNIAL,TRUE,1,,POSI,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200837,10/23/2025 17:00,APA,2025-08-22 08:53:00+00:00,67,50,54.38,0,0,,10,30.26,0,M,KAPA 220853Z 00000KT 10SM FEW220 19/10 A3026 RMK AO2 SLP158 T01940100 58001,KAPA,KAPA,2025-08-22 08:44:00+00:00,PRIMARY,0,0 days 00:09:00
ERA25LA276,ACC,200622,2025-07-22 09:30:00+00:00,Farmingdale,New York,United States,,N67722,FALSE,DirectorBrief,2025-11-20T05:00:00Z,None,0,0,0,The pilot’s failure to maintain directional control of the airplane while landing in a crosswind.,,40.726737,-73.411361,HOWARD AIRCRAFT,DGA-15P,AIR,FRG,Republic Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200622,11/20/2025 18:00,FRG,2025-07-22 09:53:00+00:00,66,59,78.16,40,7,,10,30.07,0,M,KFRG 220953Z AUTO 04007KT 10SM FEW029 19/15 A3007 RMK AO2 SLP183 T01890150,FRG,KFRG,2025-07-22 09:30:00+00:00,PRIMARY,0,0 days 00:23:00
CEN25LA264,ACC,200584,2025-07-20 14:15:00+00:00,Pipestone,Minnesota,United States,,N6557Q,FALSE,DirectorBrief,2026-01-09T05:00:00Z,None,0,0,0,"The failure of the left brake to release due to corrosion and pitting of the caliper piston and bore, which resulted in a runway excursion.",,43.98472,-96.30348,ALON,A2,AIR,PQN,PIPESTONE MUNI,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200584,1/9/2026 19:00,FSD,2025-07-20 13:56:00+00:00,71,65,81.37,70,8,,10,29.96,0,M,KFSD 201356Z 07008KT 10SM FEW065 22/18 A2996 RMK AO2 SLP137 T02170183 $,PQN,FSD,2025-07-20 14:15:00+00:00,FALLBACK,31.28780313866873,0 days 00:19:00
CEN25LA258,ACC,200565,2025-07-17 10:22:00+00:00,Blaine,Minnesota,United States,,N237FC,FALSE,DirectorBrief,2025-09-05T04:00:00Z,None,0,0,0,The pilot’s failure to maintain directional control while landing with a crosswind.,,45.144889,-93.210194,ZENITH,STOL CH701,AIR,ANE,Anoka County/Blaine (Janes FLD) Airport,TRUE,1,,FLTS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200565,9/5/2025 18:00,ANE,2025-07-17 10:15:00+00:00,51.8,51.8,100,0,0,,10,30.11,0,M,KANE 171015Z AUTO 00000KT 10SM CLR 11/11 A3011 RMK AO2,ANE,KANE,2025-07-17 10:22:00+00:00,PRIMARY,0,0 days 00:07:00
ERA25LA257,ACC,200458,2025-07-03 19:32:00+00:00,Greenville,Kentucky,United States,,N11TY,FALSE,DirectorBrief,2025-11-14T05:00:00Z,None,0,0,0,The pilot’s loss of control during takeoff.,,37.228983,-87.151916,YATES TOM W,Kitfox III,AIR,M21,MUHLENBERG COUNTY,TRUE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200458,11/14/2025 18:00,M21,2025-07-03 19:35:00+00:00,89.2,65,44.92,70,3,,10,30.03,0,M,KM21 031935Z AUTO 07003KT 10SM SCT055 32/18 A3003 RMK AO2 T03180183,M21,KM21,2025-07-03 19:32:00+00:00,PRIMARY,0,0 days 00:03:00
WPR25LA196,ACC,200439,2025-06-24 13:40:00+00:00,Pendleton,Oregon,United States,,N2051U,FALSE,DirectorBrief,2025-08-21T04:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control during landing, in gusting crosswind conditions.",,45.6721,-118.7886,MAULE,M-4-220C,AIR,PDT,Eastern Oregon Regional At Pendelton,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200439,8/21/2025 17:00,PDT,2025-06-24 13:53:00+00:00,62,40,44.26,130,5,,10,29.96,0,M,KPDT 241353Z 13005KT 10SM CLR 17/04 A2996 RMK AO2 SLP131 T01670044,PDT,KPDT,2025-06-24 13:40:00+00:00,PRIMARY,0,0 days 00:13:00
ERA25LA213,ACC,200212,2025-05-22 11:40:00+00:00,Murfreesboro,Tennessee,United States,,N6317D,FALSE,DirectorBrief,2025-11-14T05:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control of the airplane while attempting to take off in a gusty crosswind, which resulted in a runway excursion.",,35.878654,-86.377468,CESSNA,172N,AIR,MBT,MURFREESBORO MUNI,FALSE,1,,INST,091,Substantial,VMC,JKG LLC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=200212,11/14/2025 18:00,MBT,2025-05-22 11:35:00+00:00,62.6,51.8,67.76,0,0,,10,30.02,0,M,KMBT 221135Z AUTO 00000KT 10SM CLR 17/11 A3002 RMK A01,MBT,KMBT,2025-05-22 11:40:00+00:00,PRIMARY,0,0 days 00:05:00
ERA25LA068,ACC,199390,2024-11-15 17:39:00+00:00,Daytona Beach,Florida,United States,,N508PA,FALSE,DirectorBrief,2025-06-20T04:00:00Z,None,0,0,0,The maintenance technician’s failure to follow the manufacturer’s recommended procedures during a wheel and tire change to ensure proper clearance of the tire to the wheel well resulting in the right main wheel becoming stuck in the well and subsequent partial gear extension landing.,,29.176646,-81.065988,DIAMOND AIRCRAFT IND GMBH,DA 42 NG,AIR,DAB,DAYTONA BEACH INTL,FALSE,2,,FERY,091,Substantial,VMC,Phoenix East Aviation,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=199390,6/20/2025 17:00,DAB,2024-11-15 17:53:00+00:00,69,57,65.57,20,17,23,10,29.93,0,M,KDAB 151753Z 02017G23KT 10SM BKN030 21/14 A2993 RMK AO2 SLP136 T02060139 10217 20189 58010,DAB,KDAB,2024-11-15 17:39:00+00:00,PRIMARY,0,0 days 00:14:00
CEN25LA025,ACC,195363,2024-10-21 11:00:00+00:00,Denton,Texas,United States,,N62394,FALSE,DirectorBrief,2025-02-21T05:00:00Z,None,0,0,0,The partial loss of engine power during the initial climb and the pilot’s failure to maintain directional control during the forced landing with a tailwind.,,33.201961,-97.199097,BOEING,A75N1,AIR,DTO,Denton Enterprise Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=195363,2/21/2025 19:00,DTO,2024-10-21 10:53:00+00:00,48,45,89.29,0,0,,10,30.21,0,M,KDTO 211053Z 00000KT 10SM CLR 09/07 A3021 RMK AO2 SLP226 T00890072,DTO,KDTO,2024-10-21 11:00:00+00:00,PRIMARY,0,0 days 00:07:00
