station,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,wxcodes,metar,AirportID,WeatherStation,EventDate,NtsbNo,Weather_Source,Distance_nm,time_diff
DUJ,2025-09-29 18:53:00+00:00,72.0,54.0,53.13,130.0,4.0,,10.0,30.24,0.0,M,KDUJ 291853Z AUTO 13004KT 10SM CLR 22/12 A3024 RMK AO2 SLP232 T02220122 PWINO,N35,DUJ,2025-09-29 19:05:00+00:00,ERA25LA375,FALLBACK,12.873873679286174,0 days 00:12:00
APA,2025-08-22 08:53:00+00:00,67.0,50.0,54.38,0.0,0.0,,10.0,30.26,0.0,M,KAPA 220853Z 00000KT 10SM FEW220 19/10 A3026 RMK AO2 SLP158 T01940100 58001,KAPA,KAPA,2025-08-22 08:44:00+00:00,CEN25LA333,PRIMARY,0.0,0 days 00:09:00
FRG,2025-07-22 09:53:00+00:00,66.0,59.0,78.16,40.0,7.0,,10.0,30.07,0.0,M,KFRG 220953Z AUTO 04007KT 10SM FEW029 19/15 A3007 RMK AO2 SLP183 T01890150,FRG,KFRG,2025-07-22 09:30:00+00:00,ERA25LA276,PRIMARY,0.0,0 days 00:23:00
FSD,2025-07-20 13:56:00+00:00,71.0,65.0,81.37,70.0,8.0,,10.0,29.96,0.0,M,KFSD 201356Z 07008KT 10SM FEW065 22/18 A2996 RMK AO2 SLP137 T02170183 $,PQN,FSD,2025-07-20 14:15:00+00:00,CEN25LA264,FALLBACK,31.28780313866873,0 days 00:19:00
ANE,2025-07-17 10:15:00+00:00,51.8,51.8,100.0,0.0,0.0,,10.0,30.11,0.0,M,KANE 171015Z AUTO 00000KT 10SM CLR 11/11 A3011 RMK AO2,ANE,KANE,2025-07-17 10:22:00+00:00,CEN25LA258,PRIMARY,0.0,0 days 00:07:00
M21,2025-07-03 19:35:00+00:00,89.2,65.0,44.92,70.0,3.0,,10.0,30.03,0.0,M,KM21 031935Z AUTO 07003KT 10SM SCT055 32/18 A3003 RMK AO2 T03180183,M21,KM21,2025-07-03 19:32:00+00:00,ERA25LA257,PRIMARY,0.0,0 days 00:03:00
PDT,2025-06-24 13:53:00+00:00,62.0,40.0,44.26,130.0,5.0,,10.0,29.96,0.0,M,KPDT 241353Z 13005KT 10SM CLR 17/04 A2996 RMK AO2 SLP131 T01670044,PDT,KPDT,2025-06-24 13:40:00+00:00,WPR25LA196,PRIMARY,0.0,0 days 00:13:00
MBT,2025-05-22 11:35:00+00:00,62.6,51.8,67.76,0.0,0.0,,10.0,30.02,0.0,M,KMBT 221135Z AUTO 00000KT 10SM CLR 17/11 A3002 RMK A01,MBT,KMBT,2025-05-22 11:40:00+00:00,ERA25LA213,PRIMARY,0.0,0 days 00:05:00
DAB,2024-11-15 17:53:00+00:00,69.0,57.0,65.57,20.0,17.0,23.0,10.0,29.93,0.0,M,KDAB 151753Z 02017G23KT 10SM BKN030 21/14 A2993 RMK AO2 SLP136 T02060139 10217 20189 58010,DAB,KDAB,2024-11-15 17:39:00+00:00,ERA25LA068,PRIMARY,0.0,0 days 00:14:00
DTO,2024-10-21 10:53:00+00:00,48.0,45.0,89.29,0.0,0.0,,10.0,30.21,0.0,M,KDTO 211053Z 00000KT 10SM CLR 09/07 A3021 RMK AO2 SLP226 T00890072,DTO,KDTO,2024-10-21 11:00:00+00:00,CEN25LA025,PRIMARY,0.0,0 days 00:07:00
