ntsbno,eventtype,eventdate_ntsb,city,state,country,n,highestinjurylevel,fatalinjurycount,seriousinjurycount,minorinjurycount,probablecause,latitude,longitude,make,model,airportid_ntsb,airportname,amateurbuilt,numberofengines,purposeofflight,far,aircraftdamage,weathercondition,operator,docketurl,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,metar,weatherstation,weather_source,distance_nm,time_diff,crosswind_component,tailwind_component
ERA25LA375,ACC,2025-09-29 19:05:00+00:00,Punxsutawney,Pennsylvania,United States,N6703A,None,0,0,0,The airplane’s collision with a deer on a runway during landing roll.,40.966837,-78.929904,CESSNA,172,N35,PUNXSUTAWNEY MUNI,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=201771,2025-09-29 18:53:00+00:00,72.0,54.0,53.13,130.0,4.0,20.5,10.0,30.24,0.0,KDUJ 291853Z AUTO 13004KT 10SM CLR 22/12 A3024 RMK AO2 SLP232 T02220122 PWINO,DUJ,FALLBACK,12.873873679286174,0 days 00:12:00,3.064177772475912,-2.5711504387461575
CEN25LA333,ACC,2025-08-22 08:44:00+00:00,Englewood,Colorado,United States,N18852,None,0,0,0,A malfunction of the tailwheel which resulted in a runway excursion and ground loop.,39.570961,-104.84175,PARKS,FOKKER D-VII REPLICA,KAPA,CENTENNIAL,True,1.0,POSI,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200837,2025-08-22 08:53:00+00:00,67.0,50.0,54.38,0.0,0.0,21.0,10.0,30.26,0.0,KAPA 220853Z 00000KT 10SM FEW220 19/10 A3026 RMK AO2 SLP158 T01940100 58001,KAPA,PRIMARY,0.0,0 days 00:09:00,0.0,0.0
ERA25LA276,ACC,2025-07-22 09:30:00+00:00,Farmingdale,New York,United States,N67722,None,0,0,0,The pilot’s failure to maintain directional control of the airplane while landing in a crosswind.,40.726737,-73.411361,HOWARD AIRCRAFT,DGA-15P,FRG,Republic Airport,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200622,2025-07-22 09:53:00+00:00,66.0,59.0,78.16,40.0,7.0,20.5,10.0,30.07,0.0,KFRG 220953Z AUTO 04007KT 10SM FEW029 19/15 A3007 RMK AO2 SLP183 T01890150,KFRG,PRIMARY,0.0,0 days 00:23:00,4.499513267805774,5.362311101832846
CEN25LA264,ACC,2025-07-20 14:15:00+00:00,Pipestone,Minnesota,United States,N6557Q,None,0,0,0,"The failure of the left brake to release due to corrosion and pitting of the caliper piston and bore, which resulted in a runway excursion.",43.98472,-96.30348,ALON,A2,PQN,PIPESTONE MUNI,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200584,2025-07-20 13:56:00+00:00,71.0,65.0,81.37,70.0,8.0,20.5,10.0,29.96,0.0,KFSD 201356Z 07008KT 10SM FEW065 22/18 A2996 RMK AO2 SLP137 T02170183 $,FSD,FALLBACK,31.28780313866873,0 days 00:19:00,7.5175409662872665,2.7361611466053506
CEN25LA258,ACC,2025-07-17 10:22:00+00:00,Blaine,Minnesota,United States,N237FC,None,0,0,0,The pilot’s failure to maintain directional control while landing with a crosswind.,45.144889,-93.210194,ZENITH,STOL CH701,ANE,Anoka County/Blaine (Janes FLD) Airport,True,1.0,FLTS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200565,2025-07-17 10:15:00+00:00,51.8,51.8,100.0,0.0,0.0,20.5,10.0,30.11,0.0,KANE 171015Z AUTO 00000KT 10SM CLR 11/11 A3011 RMK AO2,KANE,PRIMARY,0.0,0 days 00:07:00,0.0,0.0
ERA25LA257,ACC,2025-07-03 19:32:00+00:00,Greenville,Kentucky,United States,N11TY,None,0,0,0,The pilot’s loss of control during takeoff.,37.228983,-87.151916,YATES TOM W,Kitfox III,M21,MUHLENBERG COUNTY,True,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200458,2025-07-03 19:35:00+00:00,89.2,65.0,44.92,70.0,3.0,20.5,10.0,30.03,0.0,KM21 031935Z AUTO 07003KT 10SM SCT055 32/18 A3003 RMK AO2 T03180183,KM21,PRIMARY,0.0,0 days 00:03:00,2.819077862357725,1.0260604299770064
WPR25LA196,ACC,2025-06-24 13:40:00+00:00,Pendleton,Oregon,United States,N2051U,None,0,0,0,"The pilot’s failure to maintain directional control during landing, in gusting crosswind conditions.",45.6721,-118.7886,MAULE,M-4-220C,PDT,Eastern Oregon Regional At Pendelton,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=200439,2025-06-24 13:53:00+00:00,62.0,40.0,44.26,130.0,5.0,20.5,10.0,29.96,0.0,KPDT 241353Z 13005KT 10SM CLR 17/04 A2996 RMK AO2 SLP131 T01670044,KPDT,PRIMARY,0.0,0 days 00:13:00,3.83022221559489,-3.2139380484326967
ERA25LA213,ACC,2025-05-22 11:40:00+00:00,Murfreesboro,Tennessee,United States,N6317D,None,0,0,0,"The pilot’s failure to maintain directional control of the airplane while attempting to take off in a gusty crosswind, which resulted in a runway excursion.",35.878654,-86.377468,CESSNA,172N,MBT,MURFREESBORO MUNI,False,1.0,INST,091,Substantial,VMC,JKG LLC,https://data.ntsb.gov/Docket?ProjectID=200212,2025-05-22 11:35:00+00:00,62.6,51.8,67.76,0.0,0.0,20.5,10.0,30.02,0.0,KMBT 221135Z AUTO 00000KT 10SM CLR 17/11 A3002 RMK A01,KMBT,PRIMARY,0.0,0 days 00:05:00,0.0,0.0
ERA25LA068,ACC,2024-11-15 17:39:00+00:00,Daytona Beach,Florida,United States,N508PA,None,0,0,0,The maintenance technician’s failure to follow the manufacturer’s recommended procedures during a wheel and tire change to ensure proper clearance of the tire to the wheel well resulting in the right main wheel becoming stuck in the well and subsequent partial gear extension landing.,29.176646,-81.065988,DIAMOND AIRCRAFT IND GMBH,DA 42 NG,DAB,DAYTONA BEACH INTL,False,2.0,FERY,091,Substantial,VMC,Phoenix East Aviation,https://data.ntsb.gov/Docket?ProjectID=199390,2024-11-15 17:53:00+00:00,69.0,57.0,65.57,20.0,17.0,23.0,10.0,29.93,0.0,KDAB 151753Z 02017G23KT 10SM BKN030 21/14 A2993 RMK AO2 SLP136 T02060139 10217 20189 58010,KDAB,PRIMARY,0.0,0 days 00:14:00,5.814342436536368,15.974774553360444
CEN25LA025,ACC,2024-10-21 11:00:00+00:00,Denton,Texas,United States,N62394,None,0,0,0,The partial loss of engine power during the initial climb and the pilot’s failure to maintain directional control during the forced landing with a tailwind.,33.201961,-97.199097,BOEING,A75N1,DTO,Denton Enterprise Airport,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=195363,2024-10-21 10:53:00+00:00,48.0,45.0,89.29,0.0,0.0,20.5,10.0,30.21,0.0,KDTO 211053Z 00000KT 10SM CLR 09/07 A3021 RMK AO2 SLP226 T00890072,KDTO,PRIMARY,0.0,0 days 00:07:00,0.0,0.0
