"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"ERA25LA375","ACC","201771","2025-09-29T19:05:00Z","Punxsutawney","Pennsylvania","United States","","N6703A","FALSE","DirectorBrief","2025-12-04T05:00:00Z","None","0","0","0","The airplane’s collision with a deer on a runway during landing roll.","","40.966837","-78.929904","CESSNA","172","AIR","N35","PUNXSUTAWNEY MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=201771","12/4/2025 6:00:00 PM",
"CEN25LA333","ACC","200837","2025-08-22T08:44:00Z","Englewood","Colorado","United States","","N18852","FALSE","DirectorBrief","2025-10-23T04:00:00Z","None","0","0","0","A malfunction of the tailwheel which resulted in a runway excursion and ground loop.","","39.570961","-104.84175","PARKS","FOKKER D-VII REPLICA","AIR","KAPA","CENTENNIAL","TRUE","1","","POSI","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200837","10/23/2025 5:00:00 PM",
"ERA25LA276","ACC","200622","2025-07-22T09:30:00Z","Farmingdale","New York","United States","","N67722","FALSE","DirectorBrief","2025-11-20T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane while landing in a crosswind.","","40.726737","-73.411361","HOWARD AIRCRAFT","DGA-15P","AIR","FRG","Republic Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200622","11/20/2025 6:00:00 PM",
"CEN25LA264","ACC","200584","2025-07-20T14:15:00Z","Pipestone","Minnesota","United States","","N6557Q","FALSE","DirectorBrief","2026-01-09T05:00:00Z","None","0","0","0","The failure of the left brake to release due to corrosion and pitting of the caliper piston and bore, which resulted in a runway excursion.","","43.98472","-96.30348","ALON","A2","AIR","PQN","PIPESTONE MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200584","1/9/2026 7:00:00 PM",
"CEN25LA258","ACC","200565","2025-07-17T10:22:00Z","Blaine","Minnesota","United States","","N237FC","FALSE","DirectorBrief","2025-09-05T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control while landing with a crosswind.","","45.144889","-93.210194","ZENITH","STOL CH701","AIR","ANE","Anoka County/Blaine (Janes FLD) Airport","TRUE","1","","FLTS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200565","9/5/2025 6:00:00 PM",
"ERA25LA257","ACC","200458","2025-07-03T19:32:00Z","Greenville","Kentucky","United States","","N11TY","FALSE","DirectorBrief","2025-11-14T05:00:00Z","None","0","0","0","The pilot’s loss of control during takeoff.","","37.228983","-87.151916","YATES TOM W","Kitfox III","AIR","M21","MUHLENBERG COUNTY","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200458","11/14/2025 6:00:00 PM",
"WPR25LA196","ACC","200439","2025-06-24T13:40:00Z","Pendleton","Oregon","United States","","N2051U","FALSE","DirectorBrief","2025-08-21T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing, in gusting crosswind conditions.","","45.6721","-118.7886","MAULE","M-4-220C","AIR","PDT","Eastern Oregon Regional At Pendelton","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200439","8/21/2025 5:00:00 PM",
"ERA25LA213","ACC","200212","2025-05-22T11:40:00Z","Murfreesboro","Tennessee","United States","","N6317D","FALSE","DirectorBrief","2025-11-14T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane while attempting to take off in a gusty crosswind, which resulted in a runway excursion.","","35.878654","-86.377468","CESSNA","172N","AIR","MBT","MURFREESBORO MUNI","FALSE","1","","INST","091","Substantial","VMC","JKG LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=200212","11/14/2025 6:00:00 PM",
"ERA25LA068","ACC","199390","2024-11-15T17:39:00Z","Daytona Beach","Florida","United States","","N508PA","FALSE","DirectorBrief","2025-06-20T04:00:00Z","None","0","0","0","The maintenance technician’s failure to follow the manufacturer’s recommended procedures during a wheel and tire change to ensure proper clearance of the tire to the wheel well resulting in the right main wheel becoming stuck in the well and subsequent partial gear extension landing.","","29.176646","-81.065988","DIAMOND AIRCRAFT IND GMBH","DA 42 NG","AIR","DAB","DAYTONA BEACH INTL","FALSE","2","","FERY","091","Substantial","VMC","Phoenix East Aviation","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=199390","6/20/2025 5:00:00 PM",
"CEN25LA025","ACC","195363","2024-10-21T11:00:00Z","Denton","Texas","United States","","N62394","FALSE","DirectorBrief","2025-02-21T05:00:00Z","None","0","0","0","The partial loss of engine power during the initial climb and the pilot’s failure to maintain directional control during the forced landing with a tailwind.","","33.201961","-97.199097","BOEING","A75N1","AIR","DTO","Denton Enterprise Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=195363","2/21/2025 7:00:00 PM",
