station,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,wxcodes,metar,AirportID,WeatherStation,EventDate,NtsbNo
APA,2025-08-22 00:53,88.0,38.0,17.19,340.0,9.0,,10.0,30.17,0.0,M,KAPA 220053Z 34009KT 10SM FEW100 SCT140 SCT220 31/03 A3017 RMK AO2 SLP133 VIRGA T03110033,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 01:36,86.0,43.0,22.24,170.0,10.0,17.0,10.0,30.18,0.0,M,KAPA 220136Z 17010G17KT 10SM FEW100 SCT140 BKN220 30/06 A3018 RMK AO2 WSHFT 0116 T03000061,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 01:53,84.0,42.0,22.81,150.0,10.0,,10.0,30.19,0.0,M,KAPA 220153Z 15010KT 10SM FEW100 SCT140 BKN220 29/06 A3019 RMK AO2 WSHFT 0116 SLP135 T02890056,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 02:53,80.0,41.0,24.98,170.0,13.0,,10.0,30.21,0.0,M,KAPA 220253Z 17013KT 10SM SCT120 BKN220 27/05 A3021 RMK AO2 SLP143 T02670050 53011,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 03:53,80.0,40.0,24.03,200.0,9.0,,10.0,30.24,0.0,M,KAPA 220353Z 20009KT 10SM BKN120 BKN220 27/04 A3024 RMK AO2 SLP151 T02670044,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 04:53,74.0,49.0,41.29,350.0,12.0,,10.0,30.25,0.0,M,KAPA 220453Z 35012KT 10SM SCT120 BKN220 23/09 A3025 RMK AO2 SLP156 T02330094,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 05:53,72.0,49.0,44.17,280.0,6.0,,10.0,30.26,0.0,M,KAPA 220553Z 28006KT 10SM SCT140 BKN220 22/09 A3026 RMK AO2 SLP159 T02220094 10328 20222 51015,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 06:53,72.0,48.0,42.54,290.0,6.0,,10.0,30.27,0.0,M,KAPA 220653Z 29006KT 10SM FEW140 BKN220 22/09 A3027 RMK AO2 SLP162 T02220089 403390172,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 07:53,70.0,49.0,47.27,290.0,3.0,,10.0,30.27,0.0,M,KAPA 220753Z 29003KT 10SM FEW140 SCT220 21/09 A3027 RMK AO2 SLP161 T02110094,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 08:53,67.0,50.0,54.38,0.0,0.0,,10.0,30.26,0.0,M,KAPA 220853Z 00000KT 10SM FEW220 19/10 A3026 RMK AO2 SLP158 T01940100 58001,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 09:53,66.0,50.0,56.29,210.0,3.0,,10.0,30.25,0.0,M,KAPA 220953Z 21003KT 10SM FEW220 19/10 A3025 RMK AO2 SLP156 T01890100,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 10:53,63.0,48.0,58.01,180.0,5.0,,10.0,30.24,0.0,M,KAPA 221053Z 18005KT 10SM FEW220 17/09 A3024 RMK AO2 SLP154 T01720089,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 11:53,63.0,47.0,55.87,160.0,6.0,,10.0,30.24,0.0,M,KAPA 221153Z 16006KT 10SM FEW220 17/08 A3024 RMK AO2 SLP157 T01720083 10222 20167 56007,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 12:53,63.0,47.0,55.87,160.0,6.0,,10.0,30.23,0.0,M,KAPA 221253Z 16006KT 10SM SCT120 BKN220 17/08 A3023 RMK AO2 SLP156 T01720083,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 13:53,68.0,49.0,50.62,0.0,0.0,,10.0,30.24,0.0,M,KAPA 221353Z 00000KT 10SM BKN120 BKN220 20/09 A3024 RMK AO2 SLP159 T02000094,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 14:53,72.0,49.0,44.17,360.0,4.0,,10.0,30.26,0.0,M,KAPA 221453Z 36004KT 10SM FEW070 SCT120 BKN220 22/09 A3026 RMK AO2 SLP165 T02220094 53005,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 15:53,76.0,52.0,43.18,20.0,9.0,,10.0,30.27,0.0,M,KAPA 221553Z 02009KT 10SM FEW070 SCT120 BKN220 24/11 A3027 RMK AO2 SLP167 T02440111,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 16:53,78.0,52.0,40.42,340.0,12.0,,10.0,30.3,0.0,M,KAPA 221653Z COR 34012KT 10SM FEW080 BKN120 BKN220 26/11 A3030 RMK AO2 SLP182 T02560111,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 17:53,78.0,54.0,43.49,340.0,13.0,20.0,10.0,30.32,0.0,M,KAPA 221753Z 34013G20KT 10SM FEW100 BKN110 BKN200 26/12 A3032 RMK AO2 SLP188 T02560122 10261 20167 51017,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 18:53,79.0,56.0,45.26,360.0,11.0,21.0,10.0,30.32,0.0,M,KAPA 221853Z 36011G21KT 10SM SCT080 BKN130 BKN220 26/13 A3032 RMK AO2 SLP187 T02610133,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 19:53,79.0,57.0,46.93,360.0,14.0,21.0,10.0,30.33,0.0,M,KAPA 221953Z 36014G21KT 10SM SCT041 BKN120 BKN220 26/14 A3033 RMK AO2 SLP194 T02610139,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 20:53,74.0,58.0,57.42,360.0,18.0,,10.0,30.35,0.0,M,KAPA 222053Z 36018KT 10SM FEW039 SCT047 BKN055 BKN130 23/14 A3035 RMK AO2 PK WND 35028/2039 SLP209 T02330144 53010,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 21:53,74.0,57.0,55.39,10.0,11.0,,10.0,30.35,,M,KAPA 222153Z 01011KT 10SM FEW047 SCT100 SCT140 SCT220 23/14 A3035 RMK AO2 PK WND 36026/2055 RAB12E29 SLP211 P0000 T02330139,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 22:53,71.0,57.0,61.28,20.0,9.0,,10.0,30.36,0.0,M,KAPA 222253Z 02009KT 10SM SCT060 BKN110 BKN140 BKN220 22/14 A3036 RMK AO2 SLP219 OCNL LTGICCG DSNT SW CB DSNT SW MOV SE T02170139,KAPA,KAPA,2025-08-22,CEN25LA333
APA,2025-08-22 23:38,70.0,57.0,63.4,360.0,7.0,,10.0,30.35,0.0,M,KAPA 222338Z 36007KT 10SM SCT060 BKN110 BKN140 BKN220 21/14 A3035 RMK AO2 OCNL LTGICCG DSNT SW CB DSNT SW MOV E T02110139,KAPA,KAPA,2025-08-22,CEN25LA333
